r_kpc,rho_Msun_pc3,ratio_rho_over_rhoc,Phi_TEG,deviation_from_GR_abs,regime,rho_c_Msun_pc3,rho_transition_threshold
1.049098,9.089418,9073.0518,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.055010,8.907718,8891.6790,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.060922,8.730354,8714.6348,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.066834,8.557206,8541.7982,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.072745,8.388155,8373.0520,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.078657,8.223089,8208.2828,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.084569,8.061897,8047.3810,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.090481,7.904473,7890.2401,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.096393,7.750713,7736.7574,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.102305,7.600518,7586.8332,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.108216,7.453792,7440.3709,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.114128,7.310440,7297.2770,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.120040,7.170372,7157.4609,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.125952,7.033499,7020.8348,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.131864,6.899737,6887.3135,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.137776,6.769003,6756.8147,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.143687,6.641216,6629.2582,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.149599,6.516300,6504.5667,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.155511,6.394178,6382.6649,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.161423,6.274778,6263.4799,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.167335,6.158029,6146.9409,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.173246,6.043862,6032.9794,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.179158,5.932210,5921.5288,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.185070,5.823009,5812.5246,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.190982,5.716196,5705.9039,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.196894,5.611710,5601.6061,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.202806,5.509492,5499.5721,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.208717,5.409484,5399.7444,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.214629,5.311631,5302.0676,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.220541,5.215879,5206.4874,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.226453,5.122174,5112.9516,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.232365,5.030467,5021.4090,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.238277,4.940706,4931.8101,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.244188,4.852845,4844.1069,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.250100,4.766836,4758.2527,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.256012,4.682633,4674.2019,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.261924,4.600193,4591.9104,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.267836,4.519473,4511.3355,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.273747,4.440431,4432.4353,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.279659,4.363025,4355.1693,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.285571,4.287218,4279.4982,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.291483,4.212969,4205.3836,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.297395,4.140243,4132.7882,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.303307,4.069002,4061.6758,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.309218,3.999212,3992.0111,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.315130,3.930838,3923.7599,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.321042,3.863846,3856.8888,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.326954,3.798204,3791.3654,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.332866,3.733881,3727.1580,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.338778,3.670846,3664.2359,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.344689,3.609068,3602.5693,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.350601,3.548518,3542.1289,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.356513,3.489169,3482.8866,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.362425,3.430992,3424.8145,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.368337,3.373961,3367.8860,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
